Date,Wind Speed,group1_windpower(kWh),group2_windpower(kWh),group3_windpower(kWh)
2-Jul,9.53,137310,139101,217218
3-Jul,7.72,112179,117892,147218
4-Jul,7.97,113493,118802,177588
5-Jul,6.54,87906,97623,131398
6-Jul,8.81,146352,147181,189468
7-Jul,7.26,103599,116415,99688
8-Jul,7.03,88440,101660,74648
9-Jul,6.25,65179,68620,78588
10-Jul,6,65007,80989,68028
11-Jul,5.62,59073,61378,97058
12-Jul,10.25,197059,179158,250188
13-Jul,8.44,138619,126954,159118
14-Jul,7.04,95438,104258,149868
15-Jul,7.55,103990,126109,159088
16-Jul,9.38,171993,181036,233028
17-Jul,8.22,126848,135736,203998
18-Jul,8.94,154255,157132,235688
19-Jul,8.43,149400,151743,194748
20-Jul,9.64,165997,169167,223778
21-Jul,6.36,72950,71588,103688
22-Jul,9.18,162757,161828,196058
23-Jul,11.05,233760,225331,268648
24-Jul,8.11,130654,126726,177588
25-Jul,8.47,144129,144108,210588
26-Jul,7.86,131330,125298,177588
27-Jul,8.05,133323,120494,163088
28-Jul,8.63,153406,138640,189468
29-Jul,9.29,166170,156902,188148
30-Jul,9.37,169390,159213,198688
31-Jul,6.42,95045,90464,134028
1-Aug,9.44,190078,165159,186838
2-Aug,9.02,165879,148268,182868
3-Aug,9.78,140138,127044,246218
4-Aug,10.93,234925,214153,242278
5-Aug,11.09,207653,193041,231718
6-Aug,9.04,163350,150485,207908
7-Aug,7.1,90604,91766,153855
8-Aug,7.54,104568,99721,138015
9-Aug,10.35,206397,191434,243792
10-Aug,7.54,105294,97581,144878
11-Aug,5.72,63771,63394,87583
12-Aug,5.87,47182,63380,51470
13-Aug,5.46,70323,102474,101660
14-Aug,6.37,59343,67702,85810
15-Aug,5.03,40668,45904,63745
16-Aug,7.38,84707,83552,127307
17-Aug,5.72,45670,52192,59920
18-Aug,7.01,84310,93769,120985
19-Aug,6.28,70575,86287,93706
20-Aug,5.26,40675,56984,81437
21-Aug,6.56,65329,70074,87806
22-Aug,6.01,51137,61264,76356
23-Aug,7.48,89114,97367,124422
24-Aug,7.05,87909,91506,114792
25-Aug,6.39,58379,67310,90647
26-Aug,4.88,26892,35988,47670
27-Aug,3.83,24291,28434,30274
28-Aug,6.36,50953,39478,80450
29-Aug,3.89,23019,19628,30478
30-Aug,4.44,19641,18748,33054
31-Aug,7.03,74435,64833,99660
1-Sep,5.78,52912,50916,81373
2-Sep,6.23,49632,54468,90060
3-Sep,6.34,46345,29060,65674
4-Sep,5.4,36407,25060,70378
5-Sep,5.34,33829,35660,56455
11-Sep,5.64,42075,30340,65790
12-Sep,3.96,13584,13220,26414
13-Sep,5.53,36518,29030,62316
14-Sep,5.54,37395,27720,72694
15-Sep,5.19,33143,30380,56312
16-Sep,5.05,31844,34310,41302
17-Sep,4.66,23506,29030,39013
18-Sep,4.09,14629,21120,19272
19-Sep,5.62,38337,42250,63474
20-Sep,6.49,64633,59380,90505
21-Sep,4.35,9556,26410,16575
22-Sep,4.7,22399,23780,40549
23-Sep,8.06,87947,88440,154301
24-Sep,7.28,82128,60720,117870
25-Sep,5.96,54742,44880,83176
26-Sep,4.68,32846,42250,42872
27-Sep,4.6,65200,27720,32757
28-Sep,5.29,63962,55885,64301
29-Sep,5.13,45918,42779,50623
30-Sep,4.23,20472,30340,41447
1-Oct,6.34,45799,46750,84029
2-Oct,5.15,38097,40940,53350
3-Oct,6.35,90888,75250,95215
4-Oct,7.68,120517,81810,108632
5-Oct,6.88,65633,77910,84076
6-Oct,5.64,64357,51470,57815
7-Oct,5.33,41626,36970,43038
8-Oct,5.92,66698,56750,65303
9-Oct,6.97,104677,77880,95396
10-Oct,8.89,157401,117470,129360
11-Oct,7.34,109151,32624,101321
12-Oct,7.97,119276,102970,115543
13-Oct,7,88233,81840,90932
14-Oct,6.3,73811,76560,73439
15-Oct,5.78,63559,52228,61685
16-Oct,5.49,64477,60720,61071
17-Oct,5.93,76751,71280,70014
18-Oct,6.69,97950,88440,94263
19-Oct,7.75,117890,89769,120523
20-Oct,9.4,170979,147840,153642
21-Oct,9.21,150318,139910,150494
22-Oct,8.49,134476,118810,122348
23-Oct,7.45,76099,62030,67347
24-Oct,5.25,50808,58060,53877
25-Oct,7.19,84533,88470,86207
26-Oct,7.85,96605,97660,98523
27-Oct,7.1,73912,93720,71202
28-Oct,7.65,90400,95060,86652
29-Oct,10.58,166954,166310,146763
30-Oct,9.14,135931,129340,114470
31-Oct,7.91,109871,114840,108073
1-Nov,10.35,155271,146530,140340
2-Nov,11.83,177137,174250,171989
3-Nov,10.28,137988,158380,181049
4-Nov,8.91,114312,135970,132468
5-Nov,8.77,112602,126720,129329
6-Nov,6.83,69582,83160,80710
7-Nov,8.12,108977,114840,100093
8-Nov,8.04,99161,102970,106515
9-Nov,10.25,146714,128030,143853
10-Nov,10.39,170831,143880,143629
11-Nov,10.15,153199,153120,137231
12-Nov,8.73,116054,120120,122731
13-Nov,8.58,110684,117470,126086
14-Nov,9.12,136858,132000,135700
15-Nov,8.47,120042,114840,115567
16-Nov,9.92,151603,138590,144899
17-Nov,10.49,161251,151810,159331
18-Nov,9.29,137704,125410,138719
19-Nov,9.29,137704,125410,138719
20-Nov,10.31,166751,158410,161124
21-Nov,9.15,111689,139910,136638
22-Nov,10.09,134865,143880,154609
23-Nov,8.22,99312,105590,113206
24-Nov,8.31,73533,81840,93085
25-Nov,8.5,127648,116160,128679
26-Nov,6.68,77512,73940,67519
27-Nov,8.47,119608,128030,117088
28-Nov,7.92,96780,96380,101275
29-Nov,7.39,87593,93720,91729
30-Nov,7.26,100500,110880,100483
1-Dec,8.2,114527,106910,116512
2-Dec,9.99,175878,135960,176497
3-Dec,10.58,180312,153120,172074
4-Dec,9.22,147023,106920,139774
5-Dec,7.74,106608,79200,99907
6-Dec,9.67,153582,118800,154637
7-Dec,11.05,174848,112200,187273
8-Dec,7.87,96463,87120,112289
9-Dec,8.94,117529,120120,143475
10-Dec,7.87,103026,101640,108907
11-Dec,9.88,164821,153120,159541
12-Dec,9.7,143218,135960,158658
13-Dec,8.56,103936,121440,128970
14-Dec,7.65,109256,100320,92346
15-Dec,7.33,96065,87120,89009
16-Dec,8.42,125230,112200,111802
17-Dec,9.61,155165,142560,147051
18-Dec,9.2,139133,124080,136551
19-Dec,10.09,172100,142560,164279
20-Dec,9.44,145598,102960,153578
21-Dec,8.62,139310,76560,117774
22-Dec,9.34,154420,146520,152214
23-Dec,10.76,201217,183480,189050
24-Dec,8.41,121065,122760,116886
25-Dec,9.79,160129,155760,161502
26-Dec,11.03,174734,158400,195410
27-Dec,10.11,130339,91080,134878
28-Dec,8.34,124498,91080,124497
29-Dec,9.48,154956,154440,155088
30-Dec,9.14,131161,180653,125650
31-Dec,9.68,157813,156677,135963
1-Jan,7.43,95450,100318,89424
2-Jan,8.55,127765,127325,111123
3-Jan,8.49,113675,100860,119990
4-Jan,8.49,125316,144935,120001
5-Jan,10.11,166706,161460,151252
6-Jan,9.72,157134,156536,148699
7-Jan,8.38,117585,121670,115662
8-Jan,8.41,127578,80507,120368
9-Jan,5.9,64140,103338,54464
10-Jan,7.17,101764,90152,68544
11-Jan,5.35,52639,46811,37665
12-Jan,8.51,145807,121440,126051
13-Jan,8.96,140696,161004,144604
14-Jan,8.19,118584,110837,127963
15-Jan,7.37,94401,91696,98616
16-Jan,9.38,158224,138311,151226
17-Jan,8.24,130204,109143,117270
18-Jan,8.74,121626,123874,148680
19-Jan,11.28,199080,170235,208286
20-Jan,12.43,216002,198197,239222
21-Jan,13.15,236232,192221,245356
22-Jan,12.23,217265,178415,226045
23-Jan,10.07,174190,156968,173533
24-Jan,10.46,183105,167365,188072
25-Jan,11.17,196292,164630,200563
26-Jan,10.85,195833,153120,195081
27-Jan,11.45,185907,207813,188651
28-Jan,9.71,157797,146500,161056
29-Jan,9.54,142903,187194,155581
30-Jan,9.45,134341,153088,176567
31-Jan,10.8,177352,179003,195899
1-Feb,9.61,140377,151150,157211
2-Feb,11.92,208537,200370,215504
3-Feb,11.15,190698,187420,204919
4-Feb,9.63,155048,156889,162021
5-Feb,4.71,42468,43016,37148
6-Feb,9.2,158938,144160,137661
7-Feb,11.19,187728,189931,199742
8-Feb,9.11,131653,143437,160600
9-Feb,11.8,211234,147840,217698
10-Feb,6.77,86934,80530,92199
11-Feb,6.33,65204,72590,71175
12-Feb,6.31,83364,76560,72091
13-Feb,6.82,92899,93015,88216
14-Feb,10.07,179405,179152,181320
15-Feb,8.89,135911,143416,147589
16-Feb,7.34,93669,102583,102546
17-Feb,6.22,77323,84971,78018
18-Feb,11.37,207056,200805,210999
19-Feb,10.97,192584,187514,204255
20-Feb,6.32,79363,73931,57221
21-Feb,7.92,126864,131806,130690
22-Feb,10.17,174209,181028,167620
23-Feb,8.6,128819,135648,130401
24-Feb,8.82,147646,142971,131302
25-Feb,9.9,161195,164792,193948
26-Feb,9.83,164695,167714,164025
27-Feb,8.71,133036,120074,128012
28-Feb,6.4,57650,62239,68365
1-Mar,8.02,118920,104250,134535
2-Mar,11.92,214694,162380,243130
3-Mar,12.41,218503,155750,235721
4-Mar,12.54,226324,189536,238992
5-Mar,10.96,176802,172403,217451
6-Mar,13.1,223887,213731,217919
7-Mar,12.35,210308,193225,238819
8-Mar,9.28,135973,110177,148853
9-Mar,7.7,100798,91404,109444
10-Mar,7.7,87549,91288,113615
11-Mar,8.51,117661,113020,133966
12-Mar,9.45,137267,127687,156348
13-Mar,8.73,129340,116135,126996
14-Mar,8.08,127629,103319,129639
15-Mar,8.54,121712,106371,119832
16-Mar,8.67,106191,122821,140839
17-Mar,10.34,168155,142206,180945
18-Mar,9.07,126032,98570,166458
19-Mar,10.08,166755,109187,193357
20-Mar,12.31,208690,138590,243618
21-Mar,11.1,177917,145190,212951
22-Mar,8.73,190060,139940,223090
23-Mar,10.37,160198,120120,201044
24-Mar,8.18,129388,108220,135390
25-Mar,7.64,110204,102970,126824
26-Mar,8.75,129566,120120,167106
27-Mar,8.72,132141,113530,151852
28-Mar,8.85,140957,122750,152483
29-Mar,10.16,170049,157090,196551
30-Mar,8.2,118830,113500,135464
31-Mar,8.9,116856,125410,156536
1-Apr,8.38,109663,116160,153090
2-Apr,9.85,148700,134660,166340
3-Apr,9.98,154283,150224,161780
4-Apr,10.41,162302,158757,231109
5-Apr,11.11,113539,83160,130847
6-Apr,10.07,149560,96340,171598
7-Apr,10.89,167843,174358,207253
8-Apr,9.62,108644,103109,118632
9-Apr,5.57,59475,59632,58136
10-Apr,6.21,71295,71881,76655
11-Apr,9.1,119850,125766,128506
12-Apr,7.7,90770,100374,110151
13-Apr,6.34,50017,54885,54312
14-Apr,8.06,102726,108741,112952
15-Apr,9.11,131026,130690,157884
16-Apr,7.4,81942,91060,105700
17-Apr,9.05,130617,132000,147460
18-Apr,9.31,137564,132914,155542
19-Apr,7.1,101237,87262,107735
20-Apr,9,153646,100310,176290
21-Apr,9.13,146991,93720,131551
22-Apr,7.2,81019,90153,86955
23-Apr,6.14,75063,79050,83415
24-Apr,6.3,80485,77399,81414
25-Apr,6.41,63180,73226,81054
26-Apr,4.8,29600,35626,56628
27-Apr,5.34,35025,34326,56807
28-Apr,4.27,26557,27406,25950
29-Apr,4.45,28423,28535,28488
30-Apr,4.62,40999,40316,37065
1-May,4.77,32129,33193,29402
2-May,3.74,30419,26940,26489
3-May,6,59351,51294,75383
4-May,3.34,21247,16442,20507
5-May,3.91,24814,25561,24798
6-May,7.77,112055,102828,101404
7-May,7.26,97142,97512,102791
8-May,6.99,82198,94344,92950
9-May,5.26,45603,59153,58473
10-May,6.02,65281,77587,80239
11-May,5.04,37717,47453,47925
12-May,5.23,31702,44381,65385
13-May,6.59,61403,71942,102817
14-May,5.3,32345,48086,60942
15-May,5.29,33291,48309,78537
16-May,5.77,43581,52003,74748
17-May,6.22,53580,69574,85982
18-May,5.41,39711,55460,60959
19-May,5.18,25822,41502,67706
20-May,7.9,99030,98642,135604
21-May,7.98,94859,101990,135410
22-May,7.52,97043,101812,131267
23-May,6.54,67683,79194,100038
24-May,7.17,75636,86978,113215
25-May,6.6,56761,73608,101758
26-May,7.59,86710,101091,125388
27-May,6.78,62675,81674,109708
28-May,7.7,84928,96795,115498
29-May,6.17,57253,70829,76840
30-May,5.31,52330,63359,58219
31-May,6.81,92449,95192,108007
1-Jun,7.07,66282,85602,110920
2-Jun,6.56,51121,70345,101227
3-Jun,7.37,80071,99166,137643
4-Jun,7.42,77419,97744,122189
5-Jun,7.42,83041,99376,119399
6-Jun,6.07,55350,70340,79942
7-Jun,6.87,64306,77848,104909
8-Jun,6.44,56271,71630,95028
9-Jun,6.69,69250,78692,120753
10-Jun,7.93,93570,96380,134464
11-Jun,7.49,90861,110205,118573
12-Jun,7.08,66850,86043,109612
13-Jun,7.1,71501,80594,121514
14-Jun,8.65,114969,115599,166556
15-Jun,7.87,95914,102167,155951
16-Jun,6.25,53443,67281,93998
17-Jun,4.79,24065,40388,60365
18-Jun,6.1,53519,62957,95626
19-Jun,7.31,87601,87313,133474
20-Jun,8.58,112818,115045,167366
21-Jun,6.74,69020,81644,126676
22-Jun,6.87,78222,87337,133250
23-Jun,8.42,106077,114920,174215
24-Jun,7.78,83707,97342,156362
25-Jun,7.48,71860,88728,142662
26-Jun,6.9,66255,77082,128281
27-Jun,7,58665,74346,115711
28-Jun,6.52,39877.5,69638,94061
29-Jun,7.32,21090,89670,128738
30-Jun,9.39,119985,150217,213910
1-Jul,8.16,85461,105127,152171
2-Jul,7.13,67788,85560,128113
3-Jul,8.22,81111,110964,179346
4-Jul,8.97,106541,123443,176689
5-Jul,6.7,68095,79014,107734
6-Jul,8.79,83298,118429,157596
7-Jul,8.99,99530,143880,207828
8-Jul,6.98,50669,97340,13271
9-Jul,8.88,102259,110832,183319
10-Jul,10.44,143302,148456,242338
11-Jul,8.97,113521,128030,197614
12-Jul,8.55,95918,109560,166173
13-Jul,8.1,85122,106910,165887
14-Jul,10.27,154623,172940,254765
15-Jul,8.36,100518,113500,165082
16-Jul,10.22,145243,167954,239890
17-Jul,6.6,67383,79049,129997
18-Jul,10.31,148265,170280,232276
19-Jul,9.7,137469,166424,215228
20-Jul,11.05,174567,217418,264524
21-Jul,11.18,185935,217233,249540
22-Jul,10.96,175406,199535,248111
23-Jul,7.92,98342,112006,151232
24-Jul,9.68,139281,165782,210903
25-Jul,9.48,139515,165377,202356
26-Jul,10.04,139335,180490,242759
27-Jul,8.57,101349,137536,193374
28-Jul,10.55,155708,199729,255454
29-Jul,11.41,177059,223368,259406
30-Jul,11.25,185635,212006,241774
31-Jul,10.47,178597,193569,222960
1-Aug,9.74,152007,163720,195557
2-Aug,10.04,158349,183001,235730
3-Aug,7.64,89389,107113,134630
4-Aug,6.53,54524,70982,108689
5-Aug,5.91,48168,61749,69326
6-Aug,6.35,60271,65901,95446
7-Aug,4.31,28116,38319,56538
8-Aug,6.09,67439,72706,102945
9-Aug,6.02,55580,69652,96560
10-Aug,4.7,41085,47947,61542
11-Aug,6.01,60496,68069,87986
12-Aug,5.79,55137,61818,75227
13-Aug,4.54,32654,33966,39079
14-Aug,5.91,53447,61960,85302
15-Aug,9.45,158867,157095,216953
16-Aug,7.64,104177,102823,146821
17-Aug,5.11,56165,61322,86181
18-Aug,6.12,56053,69378,104546
19-Aug,7.95,102190,107536,152104
20-Aug,7.94,103467,109833,156331
21-Aug,7.73,108421,107530,141151
22-Aug,6.59,71115,73484,101475
23-Aug,8.78,146966,142213,180155
24-Aug,5.57,53037,51315,67682
25-Aug,4.29,22455,29192,34311
26-Aug,6.82,66949,63883,106044
27-Aug,6.32,79872,90772,103899
28-Aug,5.16,41655,53209,73689
29-Aug,7.51,93127,96213,133136
30-Aug,8.86,137518,138100,175310
31-Aug,5.54,53254,58662,83110
1-Sep,6.09,57522,58634,87637
2-Sep,6,47853,60796,96839
3-Sep,6.23,61577,62228,84301
4-Sep,6.43,60472,68080,104654
5-Sep,6.93,72598,88804,123792
6-Sep,5.57,42949,54910,78351
7-Sep,5.3,33968,47374,64277
8-Sep,4.23,30450,42104,59220
9-Sep,7.91,106729,114497,142552
10-Sep,6.06,60184,71266,95045
11-Sep,5.34,37927,45803,68361
12-Sep,7.07,77581,88125,123228
13-Sep,6.9,77495,82894,112727
14-Sep,6.74,80066,83474,107757
15-Sep,4.95,42499,49786,68748
16-Sep,4.3,27750,32426,29239
17-Sep,4.27,31039,38371,37848
18-Sep,5.53,38034,59191,73636
19-Sep,5.49,45666,61842,72078
20-Sep,5.04,38176,50799,53106
21-Sep,4.1,14865,24036,29353
22-Sep,4.87,28198,35014,42975
23-Sep,3.69,19171,23288,29435
24-Sep,3.96,17858,27525,32748
25-Sep,5.61,36465,52487,84672
26-Sep,3.94,22794,24208,41326
27-Sep,4.8,36975,47193,37945
28-Sep,3.07,11854,15156,12360
29-Sep,4.97,38101,52823,72067
30-Sep,5.66,56582,61859,89893
1-Oct,6.34,45799,46750,84029
2-Oct,5.15,38097,40940,53350
3-Oct,6.35,90888,75250,95215
4-Oct,7.68,120517,81810,108632
5-Oct,6.88,65633,77910,84076
6-Oct,5.64,64357,51470,57815
7-Oct,3.06,6976,29225,13620
8-Oct,3.92,22518,31752,40735
9-Oct,5.09,44920,49694,40245
10-Oct,4.85,42873,49940,45785
11-Oct,6.93,89189,103455,91573
12-Oct,5.36,47458,57736,52758
13-Oct,6.08,70.677,81751,74113
14-Oct,6.85,104414,109635,9870
15-Oct,10.22,182379,188509,174824
16-Oct,8.28,133283,138592,116515
17-Oct,6.83,93598,97800,85040
18-Oct,6.6,77960,84550,76005
19-Oct,5.14,47323,59186,55648
20-Oct,7.65,99975,112861,113863
21-Oct,9.1,130895,143470,152798
22-Oct,8.63,129986,142483,134129
23-Oct,8.52,123160,132564,139326
24-Oct,8.67,149312,147751,126189
25-Oct,7.86,105420,121674,110555
26-Oct,7.27,97357,103134,93263
27-Oct,8.59,129152,137546,128648
28-Oct,10.5,182510,189165,171463
29-Oct,11.09,165330,201418,184252
30-Oct,9.34,129663,155179,154449
31-Oct,7.64,94751,113981,109525
1-Nov,9.59,162248,166340,154440
2-Nov,9.18,152959,157060,149160
3-Nov,8.59,142719,152581,144902
4-Nov,9.07,158075,166469,151418
5-Nov,8.06,124127,131754,115694
6-Nov,8.15,131255,136876,116649
7-Nov,7.17,98523,105772,89726
8-Nov,9.21,163984,170160,143146
9-Nov,10.34,189661,191858,183942
10-Nov,10.8,206854,201970,189632
11-Nov,9.14,171217,171590,146625
12-Nov,9.6,155512,163105,137039
13-Nov,9.54,174443,153740,154965
14-Nov,10.17,189236,167021,177207
15-Nov,9.58,171920,154135,156082
16-Nov,8.11,122637,111898,110829
17-Nov,8.49,120727,121493,136920
18-Nov,7.31,88880,79190,103116
19-Nov,6.45,70170,70482,65071
20-Nov,5.74,53676,51837,51787
21-Nov,6.27,68643,53564,60734
22-Nov,7.63,102913,92537,105247
23-Nov,9.79,161145,147807,167297
24-Nov,8.1,129858,101636,113244
25-Nov,11.05,214324,167891,183439
26-Nov,12.04,233131,193905,207310
27-Nov,10.85,190730,170001,194000
28-Nov,10.07,159406,154262,185475
29-Nov,9.04,145564,108250,166922
30-Nov,10.43,172618,188356,168785
1-Dec,8.69,151390,142288,129481
2-Dec,8.09,117662,58558,98025
3-Dec,9.83,180067,142409,158453
4-Dec,11.85,199475,157945,210984
5-Dec,10.3,205910,166069,160444
6-Dec,8.84,154525,129976,131921
7-Dec,8.74,188142,81333,154924
8-Dec,10.7,195740,32690,138248
9-Dec,10.09,185991,107767,171935
10-Dec,9.64,175152,98447,150033
11-Dec,10.89,192225,202092,191165
12-Dec,10.7,193193,154996,192638
13-Dec,9.33,163153,138440,144034
14-Dec,8.15,118920,94903,102509
15-Dec,9.41,167661,130092,134582
16-Dec,9.94,171989,153638,158348
17-Dec,9.96,183386,150805,157298
18-Dec,6.99,94014,85403,74067
19-Dec,8.64,136944,117338,116039
20-Dec,9.82,156092,143636,152550
21-Dec,10.27,175220,158743,168464
22-Dec,11.77,214392,184037,198134
23-Dec,11.43,202881,178360,196060
24-Dec,9.77,164753,154408,156277
25-Dec,10.52,193929,172291,169670
26-Dec,10.21,170405,163241,173823
27-Dec,10.32,174401,160916,176895
28-Dec,8.21,124345,120689,113157
29-Dec,9.17,159061,125722,132941
30-Dec,7.39,113520,93700,101975
1-Jan,6.04,87671,73320,61745
2-Jan,6.02,88379,69919,53769
3-Jan,9.29,157587,138999,120265
4-Jan,10.06,182882,159162,150034
5-Jan,8.9,134268,125361,131600
6-Jan,8.98,152588,131040,128678
7-Jan,8.34,132666,119309,111039
8-Jan,9.41,161747,147250,148098
9-Jan,10.39,194820,172852,175940
10-Jan,8.56,135196,128902,118879
11-Jan,9.82,175280,155534,150180
12-Jan,11.67,216795,187319,209359
13-Jan,9.4,161499,142616,152256
14-Jan,5.27,62306,47907,50266
15-Jan,3.7,22118,19902,19278
16-Jan,7.7,102295,106622,97249
17-Jan,10.1,171057,160079,174653
18-Jan,4.95,42034,43504,46653
19-Jan,9.54,167616,163967,178956
20-Jan,9.08,162076,143528,151363
21-Jan,10.66,213874,182110,201707
22-Jan,10.61,214811,171339,200883
23-Jan,9.15,169658,136235,146097
24-Jan,9.18,184645,145130,155185
25-Jan,10.82,207082,165701,207755
26-Jan,11.13,214630,175264,209719
27-Jan,10.87,210308,173829,200864
28-Jan,11.27,221852,181143,210368
29-Jan,11.42,223114,189211,216960
30-Jan,10.46,200425,175315,181567
31-Jan,7.58,120308,103490,107945
1-Feb,9.58,179460,156905,154925
